,quantifier,dataset,abs_error,run_time
1734,(REG)Top-7+W,679_rmftsa_sleepdata,0.1012138111385002,0.3242049109999971
1735,(REG)Top-7+W,AedesQuinx,0.03852208929084753,1.2960604655004682
1736,(REG)Top-7+W,AedesSex,0.010745134126266391,1.2815440425000997
1737,(REG)Top-7+W,ArabicDigit,0.007797503690384438,0.6248758225001803
1738,(REG)Top-7+W,BNG,0.010065161827471445,1.927344585999963
1739,(REG)Top-7+W,BNG_breast-w,0.010092445564894605,1.931441483500148
1740,(REG)Top-7+W,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.28986627618861055,0.3408796595002059
1741,(REG)Top-7+W,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,0.36802466166097375,0.13794608249960216
1742,(REG)Top-7+W,HTRU,0.017308551599381525,0.9758650629998192
1743,(REG)Top-7+W,MagicTelescope,0.05194829788372189,0.8209519690003253
1744,(REG)Top-7+W,abalone,0.04147208031878703,0.44378523349956595
1745,(REG)Top-7+W,ailerons,0.02794109646922302,0.6429232895002315
1746,(REG)Top-7+W,anuranCalls,0.02857217826877263,0.5039418574999763
1747,(REG)Top-7+W,balloon,0.0540522562627566,0.28504467399961864
1748,(REG)Top-7+W,bank8FM,0.017385229566825432,0.40170383150007183
1749,(REG)Top-7+W,churn,0.05724934619514034,0.2609924629998204
1750,(REG)Top-7+W,clean2,0.0005615244964110718,0.34534732000031
1751,(REG)Top-7+W,click-prediction,0.1664962423571169,2.0431297889999223
1752,(REG)Top-7+W,cmc,0.09076212125774222,0.33767960800018043
1753,(REG)Top-7+W,covtype_reduced,0.05445612932919339,0.6164238224999826
1754,(REG)Top-7+W,cpu_act,0.019099406220870162,0.38530617350041213
1755,(REG)Top-7+W,default_credit_card_clients,0.08121037601238017,1.5085668809992603
1756,(REG)Top-7+W,delta_ailerons,0.018133697012888278,0.35612100199983615
1757,(REG)Top-7+W,eeg,0.13650869347871736,0.9071332779998739
1758,(REG)Top-7+W,electricity-normalized,0.0533901970942498,2.272868242000277
1759,(REG)Top-7+W,elevators,0.028199521030345155,0.7398832690001109
1760,(REG)Top-7+W,file22f0e4a679,0.011222988552927986,0.27105471400034725
1761,(REG)Top-7+W,file79b563a1a18,0.046488714056318055,0.39734953300039705
1762,(REG)Top-7+W,file7b5365fa741c,0.038654739832863064,0.43991362299968384
1763,(REG)Top-7+W,fri_c2_1000_10,0.07047504685968267,0.32039478150027206
1764,(REG)Top-7+W,fried,0.0354308965883437,1.9986727799999608
1765,(REG)Top-7+W,gina_agnostic,0.03904846880973542,0.40320257599976683
1766,(REG)Top-7+W,houses,0.012915597286627516,0.8975343740000972
1767,(REG)Top-7+W,jm1-processed,0.09013947547338635,0.6813731335000921
1768,(REG)Top-7+W,kdd_JapaneseVowels,0.015842515947455126,0.45838549600006445
1769,(REG)Top-7+W,kin8nm,0.05828860003063445,0.6240667889999895
1770,(REG)Top-7+W,letter-recognition,0.08438362164770391,1.1344747205001295
